Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Salary_Imputed,Salary_Was_Missing,Salary_Was_College_Missing,Tenure_Months
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,83236.0,0,0,34
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,3839.61,Standard,2016,3,,,73455.0,1,1,33
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,73455.0,1,1,42
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,3839.75,Standard,2013,2,,,73455.0,1,1,70
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,103495.0,0,0,50
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,51124.0,0,0,79
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,3857.95,Standard,2014,6,,,73455.0,1,1,54
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,100159.0,0,0,24
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,100159.0,0,0,43
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,100159.0,0,0,26
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,66444.0,0,0,45
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,49618.0,0,0,30
611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,,,90175.0,0,0,11
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Single,Star,3871.07,Standard,2013,10,,,73455.0,1,1,62
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,3872.22,Standard,2016,11,,,73455.0,1,1,25
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,,128118.0,0,0,28
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,,128118.0,0,0,24
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,,94092.0,0,0,62
172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,5303.76,2018 Promotion,2018,3,,,73455.0,1,1,9
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,73455.0,1,1,39
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3885.46,Standard,2015,7,,,73455.0,1,1,41
552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Married,Star,3885.46,Standard,2018,11,,,73455.0,1,1,1
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Star,3885.46,Standard,2016,3,,,73455.0,1,1,33
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Single,Star,3886.5,Standard,2014,5,,,73455.0,1,1,55
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,89062.0,0,0,31
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,102400.0,0,0,42
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,98629.0,0,0,26
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,,98629.0,0,0,14
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,63795.0,0,0,65
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,54890.0,0,0,37
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,3891.58,Standard,2014,3,,,73455.0,1,1,57
201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,2015.0,12.0,51375.0,0,0,8
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,,,70222.0,0,0,14
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,40736.0,0,0,73
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,,,75861.0,0,0,7
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,69835.0,0,0,19
938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,5337.35,2018 Promotion,2018,4,,,73455.0,1,1,8
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,75980.0,0,0,67
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Single,Star,3907.03,Standard,2012,5,,,73455.0,1,1,79
834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,2017.0,4.0,54460.0,0,0,1
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,3914.72,Standard,2014,6,,,73455.0,1,1,54
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Star,3914.72,Standard,2013,2,,,73455.0,1,1,70
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Star,3915.8,Standard,2016,5,,,73455.0,1,1,31
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,80697.0,0,0,31
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,80697.0,0,0,27
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,2017.0,2.0,80697.0,0,0,8
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,,,80697.0,0,0,6
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,,,80697.0,0,0,7
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Married,Star,3920.51,Standard,2015,2,,,73455.0,1,1,46
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,77601.0,0,0,40
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,77601.0,0,0,50
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,73236.0,0,0,8
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,50879.0,0,0,57
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,62160.0,0,0,73
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,93541.0,0,0,21
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,163974.0,0,0,60
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,75827.0,0,0,51
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,75827.0,0,0,61
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,75827.0,0,0,72
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,,,75827.0,0,0,6
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,152955.0,0,0,66
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,152955.0,0,0,39
461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,,,152955.0,0,0,2
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,152955.0,0,0,40
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,152955.0,0,0,31
386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018.0,11.0,30486.0,0,0,8
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3958.0,Standard,2012,9,,,73455.0,1,1,75
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,3961.59,Standard,2012,8,,,73455.0,1,1,76
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,96814.0,0,0,65
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,,,49846.0,0,0,10
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,217538.0,0,0,79
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,48744.0,0,0,34
357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,,,76410.0,0,0,3
330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,,,105053.0,0,0,10
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,84914.0,0,0,73
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,,Divorced,Star,3974.86,Standard,2013,5,,,73455.0,1,1,67
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Divorced,Star,3974.86,Standard,2017,10,,,73455.0,1,1,14
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,,,60519.0,0,0,5
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,102457.0,0,0,19
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,103862.0,0,0,69
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,93153.0,0,0,71
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,93153.0,0,0,68
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,86793.0,0,0,30
