Loyalty Number,Recency_Last_Flight,Recency_Last_Redeem,Total_Flights_2017,Total_Distance_2017,Points_Earned_2017,Points_Redeemed_2017,Dollar_Redeemed_2017,Active_Months_2017,Had_Outlier_Flight,Avg_Flights_Per_Month,Avg_Flights_Per_Active_Month,Redemption_Rate_2017,Never_Flew_2017,Has_Redeemed_2017,H1_Flights,H2_Flights,Flight_Trend_Abs,Flight_Trend_Pct,Seasonality_Index,CLV,Salary_Imputed,Education_Encoded,Loyalty_Card_Encoded,Tenure_Months,Salary_Was_Missing,Salary_Was_College_Missing,Churned,Zero_Activity_2018,Formal_Cancel,Churn_Probability,Churn_Risk_Tier,Segment_k3,Segment_ID,Segment_Name
480934,0.0,1.0,18.0,25352.0,25352.0,322.0,58.0,7,0,1.5,2.571428571428572,0.0127011675607447,0,1,9.0,9.0,0.0,0.0,1.7777777777777777,3839.14,83236.0,3,1,34,0,0,0,0,0,0.11027437,Low,0,2,Occasional Travelers
549612,1.0,5.0,31.0,36136.0,36136.0,787.0,142.0,8,0,2.583333333333333,3.875,0.0217788355102944,0,1,15.0,16.0,1.0,0.0625,1.2903225806451613,3839.61,73455.0,2,1,33,1,1,0,0,0,0.18008919,Low,0,0,Loyal Regulars
429460,1.0,10.0,16.0,22957.0,22957.0,374.0,67.0,7,0,1.3333333333333333,2.2857142857142856,0.0162913272640153,0,1,9.0,7.0,-2.0,-0.2,1.25,3839.75,73455.0,2,1,42,1,1,1,0,1,0.38465124,Medium,0,0,Loyal Regulars
608370,0.0,10.0,24.0,33369.0,33369.0,864.0,156.0,9,0,2.0,2.6666666666666665,0.0258922952440888,0,1,18.0,6.0,-12.0,-0.631578947368421,1.6666666666666667,3839.75,73455.0,2,1,70,1,1,0,0,0,0.0053917076,Low,0,0,Loyal Regulars
530508,1.0,12.0,11.0,19886.0,19886.0,0.0,0.0,4,0,0.9166666666666666,2.75,0.0,0,0,5.0,6.0,1.0,0.1666666666666666,1.4545454545454546,3842.79,103495.0,3,1,50,0,0,0,0,0,0.16055997,Low,0,2,Occasional Travelers
193662,0.0,1.0,52.0,84718.0,84718.0,854.0,154.0,11,0,4.333333333333333,4.727272727272728,0.0100805023725772,0,1,23.0,29.0,6.0,0.25,1.5384615384615383,3844.57,51124.0,3,1,79,0,0,0,0,0,0.0011262242,Low,0,0,Loyal Regulars
927943,1.0,2.0,16.0,21692.0,21692.0,1174.0,211.0,6,0,1.3333333333333333,2.6666666666666665,0.0541213350543979,0,1,11.0,5.0,-6.0,-0.5,2.0,3857.95,73455.0,2,1,54,1,1,0,0,0,0.046047214,Low,0,2,Occasional Travelers
188893,1.0,11.0,23.0,42235.0,42235.0,334.0,60.0,8,0,1.9166666666666667,2.875,0.0079081330649934,0,1,17.0,6.0,-11.0,-0.6111111111111112,1.7391304347826086,3861.49,100159.0,3,1,24,0,0,0,0,0,0.1607447,Low,0,0,Loyal Regulars
852392,0.0,0.0,20.0,36504.0,36504.0,990.0,179.0,7,0,1.6666666666666667,2.857142857142857,0.027120315581854,0,1,15.0,5.0,-10.0,-0.625,1.8,3861.49,100159.0,3,1,43,0,0,0,0,0,0.047971047,Low,0,0,Loyal Regulars
866307,1.0,2.0,23.0,28135.0,28135.0,1057.0,190.0,7,0,1.9166666666666667,3.2857142857142856,0.0375688644037675,0,1,19.0,4.0,-15.0,-0.75,2.0869565217391304,3861.49,100159.0,3,1,26,0,0,0,0,0,0.064586274,Low,0,2,Occasional Travelers
932823,0.0,6.0,25.0,45739.0,45739.0,499.0,90.0,9,0,2.083333333333333,2.7777777777777777,0.010909726928879,0,1,8.0,17.0,9.0,1.0,1.44,3863.31,66444.0,3,1,45,0,0,0,0,0,0.2018962,Medium,0,0,Loyal Regulars
144514,0.0,12.0,12.0,16970.0,16970.0,0.0,0.0,5,0,1.0,2.4,0.0,0,0,3.0,9.0,6.0,1.5,1.6666666666666667,3864.78,49618.0,3,1,30,0,0,0,0,0,0.040440172,Low,0,2,Occasional Travelers
611765,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3867.97,90175.0,3,1,11,0,0,0,0,0,0.06732948,Low,1,1,Silent Enrollees
988178,0.0,6.0,38.0,55010.0,55010.0,679.0,122.0,12,0,3.1666666666666665,3.1666666666666665,0.0123432103253953,0,1,23.0,15.0,-8.0,-0.3333333333333333,1.368421052631579,3871.07,73455.0,2,1,62,1,1,0,0,0,0.022656864,Low,0,0,Loyal Regulars
286114,0.0,8.0,14.0,19232.0,19232.0,1165.0,209.0,6,0,1.1666666666666667,2.333333333333333,0.0605761231281198,0,1,3.0,11.0,8.0,2.0,2.0,3872.22,73455.0,2,1,25,1,1,0,0,0,0.028112877,Low,0,2,Occasional Travelers
205785,0.0,2.0,27.0,40831.0,40831.0,1233.0,222.0,9,0,2.25,3.0,0.030197643947001,0,1,11.0,16.0,5.0,0.4166666666666667,1.7777777777777777,3873.65,128118.0,4,1,28,0,0,0,0,0,0.054189567,Low,0,0,Loyal Regulars
735304,0.0,8.0,9.0,16132.0,16132.0,608.0,109.0,6,0,0.75,1.5,0.0376890652120009,0,1,3.0,6.0,3.0,0.75,2.2222222222222223,3873.65,128118.0,4,1,24,0,0,0,0,0,0.07531018,Low,0,2,Occasional Travelers
438936,0.0,12.0,29.0,37432.0,37432.0,0.0,0.0,9,0,2.4166666666666665,3.2222222222222223,0.0,0,0,14.0,15.0,1.0,0.0666666666666666,1.3793103448275863,3878.77,94092.0,3,1,62,0,0,0,0,0,0.083256446,Low,0,0,Loyal Regulars
354730,1.0,12.0,20.0,36872.0,36872.0,0.0,0.0,8,0,1.6666666666666667,2.5,0.0,0,0,11.0,9.0,-2.0,-0.1666666666666666,1.6,3885.46,73455.0,2,1,39,1,1,1,1,1,0.07031498,Low,0,0,Loyal Regulars
413741,1.0,2.0,22.0,42474.0,42474.0,1410.0,253.0,8,0,1.8333333333333333,2.75,0.0331967792061025,0,1,8.0,14.0,6.0,0.6666666666666666,1.818181818181818,3885.46,73455.0,2,1,41,1,1,0,0,0,0.07157806,Low,0,0,Loyal Regulars
552965,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,3885.46,73455.0,2,1,1,1,1,0,0,0,0.72684765,Critical,1,1,Silent Enrollees
642313,0.0,1.0,19.0,23282.0,23282.0,1506.0,271.0,8,0,1.5833333333333333,2.375,0.0646851645047676,0,1,9.0,10.0,1.0,0.1,1.263157894736842,3885.46,73455.0,2,1,33,1,1,0,0,0,0.110883005,Low,0,2,Occasional Travelers
263080,2.0,12.0,14.0,16998.0,16998.0,0.0,0.0,4,0,1.1666666666666667,3.5,0.0,0,0,8.0,6.0,-2.0,-0.2222222222222222,2.2857142857142856,3886.5,73455.0,2,1,55,1,1,0,0,0,0.09329451,Low,0,2,Occasional Travelers
109767,0.0,3.0,19.0,31203.0,31203.0,1151.0,207.0,11,0,1.5833333333333333,1.7272727272727273,0.0368874787680671,0,1,9.0,10.0,1.0,0.1,1.4736842105263157,3886.65,89062.0,3,1,31,0,0,0,0,0,0.050650295,Low,0,0,Loyal Regulars
217754,4.0,12.0,20.0,33727.0,33727.0,0.0,0.0,7,0,1.6666666666666667,2.857142857142857,0.0,0,0,11.0,9.0,-2.0,-0.1666666666666666,1.8,3887.32,102400.0,3,1,42,0,0,0,0,0,0.21855485,Medium,0,0,Loyal Regulars
157005,1.0,12.0,28.0,36212.0,36212.0,0.0,0.0,11,0,2.333333333333333,2.5454545454545454,0.0,0,0,15.0,13.0,-2.0,-0.125,1.5714285714285714,3890.87,98629.0,3,1,26,0,0,0,0,0,0.0929158,Low,0,0,Loyal Regulars
557752,0.0,12.0,5.0,11255.0,11255.0,0.0,0.0,1,0,0.4166666666666667,5.0,0.0,0,0,0.0,5.0,5.0,5.0,4.0,3890.87,98629.0,3,1,14,0,0,0,0,0,0.020985378,Low,2,4,Rising Seasonal Flyers
