Loyalty Number,Recency_Last_Flight,Recency_Last_Redeem,Total_Flights_2017,Total_Distance_2017,Points_Earned_2017,Points_Redeemed_2017,Dollar_Redeemed_2017,Active_Months_2017,Had_Outlier_Flight,Avg_Flights_Per_Month,Avg_Flights_Per_Active_Month,Redemption_Rate_2017,Never_Flew_2017,Has_Redeemed_2017,H1_Flights,H2_Flights,Flight_Trend_Abs,Flight_Trend_Pct,Seasonality_Index,CLV,Salary_Imputed,Education_Encoded,Loyalty_Card_Encoded,Tenure_Months,Salary_Was_Missing,Salary_Was_College_Missing,Churned,Zero_Activity_2018,Formal_Cancel
480934,0.0,1.0,18.0,25352.0,25352.0,322.0,58.0,7,0,1.5,2.5714285714285716,0.012701167560744714,0,1,9.0,9.0,0.0,0.0,1.7777777777777777,3839.14,83236.0,3,1,34,0,0,0,0,0
549612,1.0,5.0,31.0,36136.0,36136.0,787.0,142.0,8,0,2.5833333333333335,3.875,0.021778835510294442,0,1,15.0,16.0,1.0,0.0625,1.2903225806451613,3839.61,73455.0,2,1,33,1,1,0,0,0
429460,1.0,10.0,16.0,22957.0,22957.0,374.0,67.0,7,0,1.3333333333333333,2.2857142857142856,0.01629132726401533,0,1,9.0,7.0,-2.0,-0.2,1.25,3839.75,73455.0,2,1,42,1,1,1,0,1
608370,0.0,10.0,24.0,33369.0,33369.0,864.0,156.0,9,0,2.0,2.6666666666666665,0.025892295244088825,0,1,18.0,6.0,-12.0,-0.631578947368421,1.6666666666666667,3839.75,73455.0,2,1,70,1,1,0,0,0
530508,1.0,12.0,11.0,19886.0,19886.0,0.0,0.0,4,0,0.9166666666666666,2.75,0.0,0,0,5.0,6.0,1.0,0.16666666666666666,1.4545454545454546,3842.79,103495.0,3,1,50,0,0,0,0,0
193662,0.0,1.0,52.0,84718.0,84718.0,854.0,154.0,11,0,4.333333333333333,4.7272727272727275,0.010080502372577257,0,1,23.0,29.0,6.0,0.25,1.5384615384615385,3844.57,51124.0,3,1,79,0,0,0,0,0
927943,1.0,2.0,16.0,21692.0,21692.0,1174.0,211.0,6,0,1.3333333333333333,2.6666666666666665,0.05412133505439794,0,1,11.0,5.0,-6.0,-0.5,2.0,3857.95,73455.0,2,1,54,1,1,0,0,0
188893,1.0,11.0,23.0,42235.0,42235.0,334.0,60.0,8,0,1.9166666666666667,2.875,0.00790813306499349,0,1,17.0,6.0,-11.0,-0.6111111111111112,1.7391304347826086,3861.49,100159.0,3,1,24,0,0,0,0,0
852392,0.0,0.0,20.0,36504.0,36504.0,990.0,179.0,7,0,1.6666666666666667,2.857142857142857,0.027120315581854043,0,1,15.0,5.0,-10.0,-0.625,1.8,3861.49,100159.0,3,1,43,0,0,0,0,0
866307,1.0,2.0,23.0,28135.0,28135.0,1057.0,190.0,7,0,1.9166666666666667,3.2857142857142856,0.03756886440376755,0,1,19.0,4.0,-15.0,-0.75,2.0869565217391304,3861.49,100159.0,3,1,26,0,0,0,0,0
